product_name,category,price,sales_volume,rating,stock,date,region
iPhone 15 Pro,手机,8999,15234,4.8,342,2025-01-15,华东
MacBook Air M3,电脑,9499,8721,4.7,156,2025-02-20,华东
AirPods Pro,耳机,1899,25678,4.6,890,2025-01-10,华南
iPad Air,平板,4799,12340,4.5,423,2025-03-05,华北
Apple Watch S9,手表,3199,9876,4.4,567,2025-02-14,华东
Samsung S24 Ultra,手机,8999,11234,4.6,278,2025-01-22,华南
Sony WH-1000XM5,耳机,2499,7654,4.8,345,2025-03-01,华北
Dell XPS 15,电脑,7999,5432,4.3,189,2025-02-28,华东
Huawei Mate 60,手机,6999,18900,4.7,234,2025-01-18,华北
Xiaomi 14 Pro,手机,4999,22345,4.5,567,2025-02-10,华南
Logitech MX Master,配件,699,15678,4.6,1234,2025-03-08,华东
Samsung Tab S9,平板,5499,6543,4.4,234,2025-02-05,华北
Bose QC45,耳机,2299,8765,4.5,456,2025-01-28,华南
ThinkPad X1,电脑,8999,4321,4.6,167,2025-03-12,华东
OPPO Find X7,手机,4599,15678,4.4,890,2025-02-18,华北
Kindle Scribe,平板,2699,3456,4.2,234,2025-01-25,华东
JBL Flip 6,配件,899,9876,4.3,678,2025-02-22,华南
ROG Ally,电脑,4999,2345,4.5,89,2025-03-15,华东
vivo X100,手机,3999,19876,4.4,456,2025-01-30,华北
Samsung Buds3,耳机,1299,11234,4.3,789,2025-02-08,华南
Lenovo Yoga,电脑,6999,3456,4.5,123,2025-03-10,华东
OnePlus 12,手机,4299,12345,4.6,345,2025-01-20,华南
Anker PowerBank,配件,299,23456,4.4,2345,2025-02-15,华北
Microsoft Surface,平板,6499,4567,4.3,167,2025-03-03,华东
Huawei FreeBuds,耳机,1199,14567,4.5,678,2025-02-25,华南
